3zzf NLG
5e1e 5JG
5edc 5M7
5fiv 3TL
5kz0 6YL
5lgu 6W1
5qik J2M
5tcy 5LC
5w13 SM2
5zqq 9H6
6e1y HLM
6gjd F0E
6ibz HAW
6ic0 HAK
6nw3 L4J
6o5x 0Q4
6qaa HUN
2bpv 1IN
3tiw 19-mer
4xg4 X4G
5tq7 7GT
1bjr 10-mer
1cyn 11-mer
1dbj AE2
1j07 DCU
1ngw MMP
1o2q 991
1oq5 CEL
1t4v 14A
1w0z SI1
1w1g 4PT
1y2k 7DE
1ze8 PIU
2arm OIN
2cni IZF
2p1c GG3
2p8s 417
2vci 2GJ
2vcj 2EQ
2vcx D26
2wxn DLN
2yln CYS
3c7q XIN
3eig MTX
3f8c HT1
3hrb I39
3miy B49
3v1r JTH
4anu EM7
4cpz ZMR
4d7b TCW
4del PGH
4gh6 LUO
4j3m AJ8
4r17 3K4
4r18 ABA
4ygf AZM
5ak0 8V1
5d7a 58C
5di1 5DF
5eg4 5N7
5ek0 5P2
5f1l 5U2
5nkg 8ZK
5ovi AXH
5q14 9MM
5qj2 JXS
5u6v 7WY
5un9 NHT
5wvd 7UX
5wyz 7VF
5xmv 8AU
5yjm 8W3
5yov 8XR
6b4u CN7
6bw2 ECY
6cvx FH4
6do4 6-mer
6f3i CKN
6g9a ESQ
6h12 FJK
6hke MLT
6msc JY7
6nyh L8D
6q7h HL8
6q8c LSU
2a2x NA9
2itk 6-mer
4x7i 3YS
5q0v 9LS
5xsr 8EC
6ezg C6K
1b0f SEI
1bai 0Q4
1fzm 8-mer
1gno U0E
1h8y MER
1him 10-mer
1hww SWA
1iem CB4
1izh Q50
1j7z 15-mer
1m5e AM1
1mes DMP
1mm6 QUS
1mm7 QUS
1oau SER-DNF
1oz0 MS1
1pyw 10-mer
1q1y BB2
1qpe PP2
1s39 AQO
1sqi 869
1uou CMU
1vja 7IN
1x0n DTF
1zaf 789
2agv BHQ
2b54 D05
2bts U32
2c4f GIL
2d1o FA4
2e9o A58
2flu 16-mer
2fx7 16-mer
2g1r 3IG
2hmu ATP
2hmv ADP
2hmw ATP
2ica 2IC
2piy 528
2psj CEI
2qoh P3Y
2uw0 GVK
2ves GVR
2who VGI
2yer TQ1
2zjw REF
2zyb KSL
3asx D99
3b7r BIR
3chq 4BQ
3ewc MCF
3eyh IZA
3f3e LEU
3fei CTM
3g0e B49
3hy5 RET
3i51 45C
3inh 569
3k7f F2C
3lhg Z81
3n7r N7R
3n7s 3N6
3olf OLF
3p7i P7I
3q0z 23E
3qcy 3Q3
3qu0 X40
3qxp X64
3th9 9Y9
3tpr 5HA
3zxr IQ1
4acc 7YG
4bnu 9KQ
4bnx O74
4bty JWF
4c36 ZO9
4cby KEE
4cpt 1T8
4d0w VVQ
4d2s DYK
4dfn 0K1
4dk7 0KS
4e7r 0NW
4e9d 10-mer
4fsl 0VB
4gcj X64
4j8r 16-mer
4k2g 1OQ
4kln AGS
4l02 1V2
4n8e 2KV
4nie NBH
4nld 2N7
4nw5 2NR
4o09 2R6
4pry 5-mer
4q0l V14
4tmk T5A
4tw9 386
4tyt S3C
4v1f BQ1
4yz9 4K7
4zga 4O3
5a0a JJS
5a2s OTF
5b0x HCK
5c8k 4YV
5dri 5EQ
5dry 5EK
5he4 60T
5hvp 6-mer
5ktx 6XH
5l9g MO0
5ni7 8Y8
5ni8 8Y2
5oq5 4K4
5sz5 72E
5uv5 Y55
5w92 KU0
5xpl 8C9
5y7w 16-mer
6bfp DJY
6cn5 F7M
6e0r HKJ
6f1x C9Q
6g6t ENN
6gbx S77
6k1s CUX
6m9t J9P
6nfn BCG
6nwk DEX
6nzg L9D
6qfx JR3
6r5f JSW
6skb LH5
3lk8 Z79
4c37 Z21
4mmp SLB
5zqo 9GX
1ajv NMB
1bl7 SB4
1caq DPS
1cnw EG1
1j4r 001
1oif IFM
1p93 DEX
1uom PTI
1yk7 NBL
2l84 J28
2pjb 983
2wf3 ZY3
2x2c 11-mer
2zjf BSU
3c43 315
3d4f LN1
3e8n VRA
3el5 1UN
3g9e RO7
3h8c NSZ
3hnz PMN
3owb BSM
3vjc ZGA
3w2r W2R
4a4w YFB
4egk RDC
4fzg 4-mer
4hhz 15S
4hvh 19R
4im0 1FV
4j1e 1HM
4mw1 44F
4n9d 2HJ
4qmo 34L
4uvw NYJ
4uw1 92R
4x6y S94
4xe0 40L
4ycm 7BS
4ztn 4S3
5a3n LQT
5als 5DQ
5em7 5Q4
5fqp GQD
5gty 816
5i2r 67A
5ia2 L66
5j3s 6FQ
5klr 16-mer
5lh8 6WH
5lla 6YQ
5ngb 8WH
5nib 8Y5
5nkc 90T
5nki 8ZW
5tca J55
5zg1 9C0
6f96 D0K
6mj4 JTG
6qhr J3N
6ugz Q71
2aou CQA
3ljg EEF
5fdi 5WM
5hbs RTL
5nyh 9EK
5y7h 8O3
6miy JTV
1bqo N25
1d8f SPI
1eas TFK
1f0s PR2
1h36 R88
1heg PSI
1j36 LPR
1lee R36
1nfu RRP
1qbo 711
1qiw DPD
1qj6 167
1rd4 L08
1sbg IM1
1txr BES
1usn IN9
1wu1 D91
1x70 715
2adu R20
2bmg I1H
2chx 090
2jt5 JT5
2oh0 2PY
2pj8 17A
2uw7 GVP
2v59 LZK
3b7u KEL
3i7c BK2
3mbl LSG
3nb5 R21
3o9v 10T
3ohh 3HH
3p7b P7B
3ps6 3PS
3qk5 QK5
3tvc E3P
3twd GOB
3wcb 8PH
3ztx ZTX
4anw O92
4anx 534
4auj HNW
4auy HNW
4cae 3F3
4cpq 9MW
4gmc 1BI
4i71 AGV
4i9z 5BA
4ipf 1F0
4j22 AJ7
4jhq B6F
4jik 1KO
4kjv 1RK
4mm5 SRE
4ph4 2UG
4pp5 2W0
4xnw 2ID
5cin 15-mer
5eh0 5NW
5emm 5QL
5i0l H27
5iu8 6DZ
5j2x 6DL
5kxi NCT
5nfh 8W2
5od5 95B
5uuu QRW
5yhl 8VL
5zqp 9H3
6c7g EOY
6fo8 DZT
6nrf KYV
6nwc L6P
6q8p HQB
6qas 34W
6sfj LBB
1rhq 0ZZ
2jkm BII
3vqs JT1
4l23 X6K
4x50 3X8
5fwr 3X8
5mtx FJI
5y5u 8OU
6fo9 E0E
6n54 KEA
6om2 11-mer
1hdt 0E7
2ccc LFN
2zpk 8-mer
3q3b 55E
4c38 VUP
4hwp X16
4xg3 X3G
4z2b 4LC
5ckr 57M
5hvy 66X
6e3z HRV
6g35 EKK
6hhg G4T
6s4u KVK
1axs HOP
1ek1 CIU
1my2 AMQ
1pi5 SM2
1wss 3CB
1xh9 R69
2bdy UNB
2fx9 14-mer
2g70 HNT
2jh6 894
2jsd NGH
2lzg 13Q
2osc MUH
2pj7 235
2qe2 452
2qm9 TDZ
2vv9 IM9
3chs 4BU
3cyw 017
3d7g MUD
3dsz LIZ
3et7 349
3gm0 B41
3hy9 098
3io7 1P5
3iop 8I1
3k5c 0BI
3kwb ORH
3mi2 PFU
3qpn PFK
3r22 D37
3rcd 03P
3rq7 7-mer
3ske 054
3tzm 085
3uvq FS8
3uw4 4-mer
4alu 79O
4cpx V78
4dh6 0KN
4g1f 0WG
4gzt G39
4hvg 19Q
4jyv 1OJ
4ke0 1R8
4lov KGM
4m3q 24K
4md6 24E
4nga 2KF
4obp 2QU
4oho 2TG
4pge 9-mer
4rj8 3QS
4uuh T40
4w9o 3JQ
4wsy 3U5
4y83 49B
4ycn 7BL
4zyt 3Y9
5abw WQQ
5apr 9-mer
5cbm 4ZN
5csz 11-mer
5fp0 SZC
5g1n PAL
5j6a P46
5j6n 6FF
5j9x 6GC
5kjn 6TL
5lwn 79R
5mg2 7M8
5neb 8VE
5nt4 97Z
5qqo NRJ
5t97 782
5w5s 12-mer
6apr 6-mer
6cnk NCT
6e6v HWA
6euw BYB
6ez9 C68
6oir MNJ
6q9s HRN
6ql2 EZL
2bu5 TF1
2q6c HR1
4jln 18V
4kni E1E
4knn E1F
4q1d 2Y1
4r6e 3JD
5a3r DL5
5n25 8HK
5ueu 0S6
1j19 16-mer
1ywh 13-mer
2zwz ZWZ
5jn9 EZL
6g36 EKH
6iuo AWX
1al7 HST
1cwc 11-mer
1f28 F89
1g49 111
1q6j 335
1u1b PAX
1v48 HA1
1x8t RC1
2chz 093
2ea2 F77
2hd6 BOS
2i19 1BY
2oph 277
2ra0 JNJ
2wl0 5AH
3agl A03
3czv AZM
3g5v 16-mer
3g8o 30X
3hq5 GKK
3kba WOW
3oy1 589
3phe C9A
3qgy L7O
3rwj 8-mer
3ryj RYJ
3s3i CQ0
3t07 09C
3unz 0BZ
4a9r RU5
4aa5 NQB
4c1m NIH
4fny I3K
4fnz NZF
4glx 0XS
4hvs 647
4ijp 1EH
4j3l AJ5
4jzr 4JR
4n6z 2HW
4p44 2F7
4p45 2F9
4pg9 9-mer
4qem HC4
4qjw WWO
4qxt 19-mer
4r93 779
4rj4 3QW
4uiv XZB
4uxq 0LI
4w9p 3JR
4x6j 3Y2
5cte 57L
5cy3 55Y
5hz6 65Y
5i3v 68M
5iu2 6DA
5j9z 6HJ
5jjr 68E
5l7g 6QE
5lmb 6ZF
5njz 8ZH
5nvf 9AW
5nwb 9C5
5t92 77W
5try 7J0
5ts0 7J1
5tx5 7MJ
5uz0 8US
5w0f 9U7
6ej2 B7E
6h7m 68H
6i8m H7W
6i8z H82
6nfy B49
6nfz B49
6nsv 6-mer
6s9d L3Z
2yem WSH
4gr3 R45
4o4y 14-mer
5eu1 5SW
5y7z IRE
1b6h 3-mer
1eat TFI
1gfw MSI
1nde MON
1nf8 ISC
1njs KEU
1nvs UCM
1q3d STU
1sqq OST
1yly CB4
2a4r BNH
2b8l 5HA
2bdl 4PR
2cf9 348
2euf LQQ
2f9v BN6
2j34 GS6
2jg0 TTZ
2o4n TPV
2o5k HBM
2o7n 2O7
2oc0 HU1
2pj5 11B
2ptz PAH
2pu0 PAH
2x6e YM4
2xbx RR8
2xfi XFI
2xjg XJG
3bi6 396
3dz6 M8E
3gcp SB2
3koo 24D
3l13 JZW
3mj1 614
3mj2 MJG
3n2p AYX
3n51 BK3
3ncz 3NC
3odi 11-mer
3prs RIT
3tpp 5HA
3uo6 0BY
3uph 0C1
3vx3 ADP
3we4 5FI
3zp9 9TH
4a4l 939
4b0g VEK
4bfp SWY
4bgg 844
4k0y 1OA
4n9e 2HL
4no9 2L0
4o13 2P1
4pp3 2VZ
4qpd THG
4wuy 3UJ
4x9r 6-mer
4y5h 519
4ybk 4B7
4ydg G3G
4z1q 558
4zsa 4UT
5ake 6N0
5bq0 4US
5hdv 60V
5hmi 62T
5i29 67B
5kj2 6TF
5kpm 6VM
5mhp 7NB
5n9l 8QH
5nvh 9B2
5trg 7HJ
5tyl 7N7
6a8n 10-mer
6cks F5Y
6g2m O84
6hcu FYB
6iby HAT
6ic6 H9B
6jz0 3NG
6oi8 MQV
6plg ONS
1m5f AM1
3mz3 B3N
3ole 7-mer
4gr8 R4C
5wf6 UKA
3cd7 882
3ibl O59
3n2u D3X
3olg 7-mer
3ttn SPD
3twj 07R
4gzp G39
5ne3 NXL
5va9 20-mer
6b96 CZV
6mjj JU4
1a94 0Q4
1b8y IN7
1cny EG3
1jwt BLI
1laf ARG
1lbf 137
1lst LYS
1o2t 783
1w12 SL1
1x78 244
2fle AI
2gv7 672
2oz7 CA4
2x8e X8E
2xcs RXV
3bel POX
3bi0 BIX
3c84 TH4
3cib 314
3d7d FBD
3dd8 2C7
3e51 N35
3efk MT4
3eta 351
3h9k UFP
3i5n B2D
3ika 0UN
3ooz ZOO
3qti 3QT
3sut OAN
3tl5 980
3ua8 08W
3uw5 4-mer
3uyt 0CK
3vw6 IM6
4avu LDR
4bjc RPB
4dfw 7-mer
4fs3 0WE
4gk4 L90
4i0r 1B4
4ieh 1E9
4kbc 1QJ
4mc1 526
4o44 2RS
4p4b 2G2
4pcs 2M7
4pg3 KRS
4qlv 39Q
4qmp DKI
4r76 R5X
4r95 3KW
4rak 652
4res BUF
4u6r 3E4
4x5r 3XO
4x7q 3YR
4x9v 6-mer
4yc8 4B7
5dgz L20
5e89 TD2
5e90 5L4
5elw 5LD
5f1h 5U6
5fxq GD5
5hi7 62X
5khx 6TE
5tpg 7H5
5tzz 7OJ
5uc1 486
5uln 8JS
5wuk 73K
5yg3 8UC
6cyc FKJ
6dvn HB7
6f7i CW5
6fgq D9N
6mja JTJ
6myn 2.7.11.25
6q39 HDQ
6qad HUZ
1fq6 0QF
2ydv NEC
2zas 1OH
3hwx TPP
4zl4 4PK
5y6e 8PO
6cfd EZA
6f9t D0Z
6h14 FW8
6op0 A7A
2z6w 11-mer
3ccw 4HI
4rvk 3XK
5ny6 R92
5q16 9MS
5twz 45R
5uwn 8O7
5v5y 8X7
5vc6 P48
6e4u HU7
6fo7 LX3
6n53 UZR
6n55 UZ0
2clv 8-mer
3sie 5BO
4ele 31I
5ap6 PWU
6mjq JUD
1au2 POS
1bm6 3-mer
1cwb 11-mer
1erq BJH
1fzo 9-mer
1gj7 132
1h2t GDP-7MG
1h2u GDP-7MG
1klg 15-mer
1kvo OAP
1npz C1P
1q6m P27
1qng 11-mer
1v79 FR7
1vjb OHT
1waw 5-mer
1wdy 25A
1x7a 187
1ywr LI9
2ajl JNH
2f3k RO1
2g2r TNS
2j50 627
2onc SY1
2ovz 5MR
2pj4 414
2qd9 LGF
2vj6 VG5
2wf4 ZY4
2xfj VG5
2xxy KAI
2ylc U
2ym8 YM8
2zn7 410
3a29 2T0
3c56 PH4
3e3u NVC
3f8s PF2
3gxz 11-mer
3h59 H59
3hig BRN
3i81 EBI
3kr5 BEY
3mg6 LZT
3mg7 L2T
3mvl 38P
3n75 G4P
3rz5 RZ5
3uoh 0C4
3uzp 0CK
3v04 V04
3vtc TK3
3wax DWX
4axm V65
4b5d SW4
4bzo 676
4djs 17-mer
4dzw 0MQ
4eg4 0OT
4ehr 0Q5
4g8m G8M
4gts 7TP
4igt 3ZA
4j1k 1HG
4kb8 1QN
4m8e 29V
4mz4 2F3
4ruy 3W6
4rx9 3YT
4u93 990
4y85 499
4yp8 4GF
4ytc 4HW
4yti VJK
4zz1 3YF
5csd ACD
5d7r 57Y
5emk 5QH
5fb7 ACD
5fwj MMK
5hkm 61Y
5hvu 65R
5ihc 6BB
5j6l 6GC
5jf2 SF7
5jgb 6JV
5kit 6TA
5kyj 6Y8
5lyr 2-mer
5m4f 7FC
5m4i 7FC
5m56 7FC
5ml2 NH6
5olb 6ZO
5t1a VT5
5tkb 7DJ
5tt7 7KF
5u8a 82D
5ugc 8BS
6ckx 8M1
6dql 8-mer
6fnf DXH
6k0j CQO
6s90 L0Z
6un1 TJ7
2e9v 85A
2yiq YIQ
3cd5 7HI
3hha NOW
3k22 JZS
4gk7 4-mer
4uiu TVU
5up3 8GS
6e2n KK8
1ajx AH1
2h5j 5-mer
2q1l 882
2qk8 MTX
3sv8 SV6
4a50 DQ6/DQ7
4tvj 09L
5e28 BC5
6cf7 EZ7
1avp 11-mer
1b6j 5-mer
1c4y IH3
1f90 9-mer
1k1p MEL
1p2a 5BN
1q6s 214
1tfq 998
1tg5 645
1tl7 ONM
1xbc STU
1zfk NR2
2cem 2AH
2gbf AIA
2hxl 422
2irz I02
2jjb 3CU+GLC
2ovv PFH
2pj2 864
2pj9 281
2q7o IMH
2w1e L0E
2x6d X6D
2y0j AXC
2yj2 YJ2
3au6 DG3
3d7z GK5
3e0p B3C
3eft 3BS
3fi3 JK2
3fz1 B98
3h9f 92M
3hhm KWT
3hv7 1AU
3ivi 2LI
3kc0 2T5
3o0u O47
3od0 PCG
3p3j 498
3q92 XNB
3qpp PFW
3rah O1Z
3sbi E90
3vtd TKD
3wdc 7-mer
3wv2 WGG
4a6c QG9
4ael 4HN
4at4 T6E
4bcn T9N
4bky 82B
4cws G3R
4g0c AZM
4g68 3-mer
4hbm 0Y7
4hge 15V
4hs8 16-mer
4j1f 1HL
4j5p BR1
4kmu RFP
4mq1 2C3
4mzs 2EV
4phu 2YB
4qga 31Z
4quo 3DZ
4rux 3W3
4wt6 3U6
4xv3 P02
4yjn UW4
5aix KRX
5db3 58Q
5e1s 5JA
5ewm 5SM
5f63 5W2
5g3n X28
5ghv X5G
5gjd 6V3
5i1q 67C
5jy3 6OX
5kjk 6T1
5ly2 14-mer
5nut 9A8
5q0h 9F1
5wh6 AKJ
6fr2 E3N
6gfx 19-mer
6mck JDP
6me1 16-mer
6nem KKS
6nv7 L3J
6qmr J6T
6r0k JNN
3daz MZM
4g34 924
6ijl A8U
1mem 0D6
2ewa SB2
3dcs MZM
3hqy PF6
4gtp 7TP
6b5a CQS
6en5 BJ2
6en6 BJ2
6hai FWW
6kzc DZC
1leg 8-mer
1sqb AZO
2itp AEE
3bh8 10-mer
3fmq FUG
3t85 SG7
3u7n UHF
4b7j G39
4bxk 1IU
4knj E1F
5n1r 8GH
5nap DZ7
5uig 8D1
6nvh XL6
6nvl XL6
6oac M1J
6s4t KVB
1epo 2Z3
1g2k NM1
1hvh Q82
1idb 0DO
1nzq 162
1o3e 696
1o3f 696
1o3g 696
1qxl FR8
1xom CIO
2e1w FR6
2e2b 406
2eh8 11-mer
2j6m AEE
2oah QIN
2oc9 IMH
2p3a 3TL
2p83 MR0
2q15 3MR
2qe4 JJ3
2x8z X8Z
2zva 1N1
3a5y KAA
3bgq VX2
3e3b CCK
3ekw DR7
3fzr 3JZ
3g5d 1N1
3iok 1P6
3iww YZE
3mhc ARZ
3ndm 3ND
3nnx EDD
3nwb 659
3pp0 03Q
3qs1 006
3r4p FU7
3rvi RVI
3sni 546
3uh4 XAV
3uuo 0CV
3v5j 0F2
3vw9 HPJ
3w5e NVW
4ap7 F47
4bcj T9N
4g2j 0WF
4j2t 1HT
4jbs P52
4k3n 1OT
4m4q 21A
4m5u 20F
4ncg 2KW
4ngp J31
4pp7 2VX
4q15 HFG
4r59 3J3
4r7m 3MW
4uff 6V2
4uvx H2W
4uxb P34
4y46 4F2
4y79 4O6
4y8c 49D
4yhz 12-mer
4yt6 4JY
4yv8 5-mer
4zam MA4
5ajx FD9
5ea7 5NO
5fao 5VW
5h0b OOQ
5jgd 6KD
5ji6 6KN
5n84 8Q5
5o83 9NQ
5qcl BUY
5ta2 78X
5u8f 82G
5vc5 96M
5wqa J20
5xv7 EMH
6chn F1D
6dhc GHJ
6dvl HBG
6eqm BUH
6f1w CG5
6fyv 3NG
6g93 EU2
6gl3 EMW
6h3k FMW
6h4d GDP
6htr GQT
6iiu A8X
6nel KKV
3amv BIN
3fmr TN4
3ldw ZOL
4x1f 3WF
5ap1 O38
5ap5 7RO
5lxc 7AA
5zqr 9H9
6hhj G4H
6itj AXU
4gto 7TO
5twl H91
1mf4 5-mer
3oyq OYQ
4z07 PCG
5n1s 8GE
5nxp 9DH
6mjw JUJ
1a4k FRA
1apw 5-mer
1ayv IN6
1b57 PGH
1b5g 0ZE
1bzs BSI
1dqn IMU
1fkg SB3
1fpp FPP
1fvv 107
1g2a BB2
1gaf NPE
1gai GAC
1i5d 128
1nc6 ABB
1o46 903
1qin GIP
1r0p KSA
1rmz NGH
1sm2 STU
1tkb N1T
1tps 8-mer
1utr PCB
1vyg ACD
1xws BI1
1ycm NGH
1yhs STU
1ym2 6-mer
1ypg UIR
1yw8 A75
1z3j NGH
2ama DHT
2e94 364
2hah 3TL
2p4i MR9
2r3j SCJ
2r3m SCX
2r6f ADP
2vnt QGG
2vwn H25
2w1c L0C
2wev CK7
2xbw 455
2ymt 9-mer
2z8e MES
3b92 440
3c9e E64
3co9 3MS
3cvk N34
3cwj 321
3cyx ROC
3d5m 4MS
3dba 35G
3dej RXC
3e92 G6A
3fc1 52P
3fur Z12
3gkz B40
3gur BYG
3gvu STI
3gzn B39
3hs4 AZM
3hx3 RET
3k97 4CD
3l0e G58
3l8x N4D
3nga 3NG
3oy0 OY0
3qd3 3Q5
3rey XAC
3rwd 11-mer
3s7m 532
3sio MLK
3t0x DIW
3zcl 5TF
4a6l P43
4ap0 G7X
4axa RKD
4bxn 6LX
4d08 Q2T
4dr9 BB2
4ehz JAK
4f7l 0SO
4g8l 25A
4hcu 13L
4ht0 V50
4jjf 2-mer
4jyu 1OK
4kfp 1R7
4knm E1E
4l4m 1XD
4lp0 1YM
4lpb 1YP
4lv2 N95
4mb9 28F
4mo8 2VQ
4o2c 10-mer
4o2e 9-mer
4o9v NT4
4poh 2VR
4pzh V13
4qg7 32K
4qmt H1N
4twt 12-mer
4u45 3DC
4ue1 16-mer
4ufu 2ZI
4ujb 8BQ
4x6i 3Y1
4yff 4CV
4ykn 4EL
4zjj 4OR
4zt2 4RP
4zt3 4RQ
4zt4 4RO
4zt5 4RN
4zt6 4RD
4zt7 4RC
4zx0 5L2
5a5d 5LC
5bml 4TW
5ceh 50P
5czb 55W
5dsx 5EW
5eqy 5RA
5fap 602
5ftq U4W
5hex 604
5hx6 65U
5lj0 6XX
5ml5 1VI
5mra DM2
5nwd 9C8
5o22 C3R
5o7e 9NB
5ows KC8
5t4f 75M
5trs 7HZ
5w0q 9U7
5w85 9YS
5web KU5
5wfz KU0
5zw6 6-mer
6df7 G9V
6eq8 BQZ
6fkq 19-mer
6g9s ET5
6gn1 F4N
6htd GQH
6i8b H7T
6ib2 862
6iqg 18-mer
6n4e KCD
6oqn N0P
6pyu P5V
6rmf K9B
6udx Q57
6uwv QK7
8abp GLA/GLB
9abp GLA/GLB
1m5b BN1
1v7a FRC
2cc7 LUM
2pj1 578
3p44 067
3vje ZGA
4muw 2F4
4xg6 X6G
4zyq 4U6
5f95 3UP
5g10 6DK
5ntk 99N
6gzd LCI
6q8a HQ5
1b7h 3-mer
2cet PGI
2zdt 46C
3iit D14
3n4c EF3
3v49 PK0
4n00 2EX
4uye 9F9
4yes 45S
5q1a 9N4
5v5n EDH
6ay3 C3J
6fii SG9
1z6j PY3
4elf 35I
4x5y 3XW
5e2k BX4
5t4h 75J
5uwl 8OJ
6bfn DL1
6do3 7-mer
1mpa 9-mer
1rhj PZN
2mpa 9-mer
3at3 ATK
3vzv VZV
4gtm 7TM
4m2u ETS
4q1f 2XN
4zy0 4TM
4zz2 3YG
5k1i 6PT
5lce 6TH
5t3n 75G
5tmn 0PJ
5uhi 8A4
5w6e 0NY
5yy9 13-mer
6i0b 9A5
6k04 CQF
1hih C20
1hrn 03D
1jjt BDS
1ke7 LS3
1lqd CMI
1o42 843
1ong WY4
1qj1 166
1sjh 13-mer
1vyf OLA
1x7r GEN
2b9a FBC
2bqv A1A
2i0h 222
2iw9 4SP
2jjk R15
2jkh BI7
2no3 859
2wxh ZZO
2xc4 IVK
2xcg XCG
2xm9 LWH
2xxt KAI
2y80 439
2z60 P3Y
2zv9 PP2
3ag9 A02
3cd8 L5G
3emg 685
3ens ENS
3eqy 12-mer
3ml2 SU0
3mwu BK3
3nnw EDD
3ot8 MI5
3oys OYS
3qkl SMR
3txo 07U
3u8l 09Q
4a4o 664
4aa4 QC0
4b8y 6-mer
4bcc JKT
4byi FH3
4hdb G52
4mk9 28R
4o4g 2RT
4ogv 2U7
4oth DRN
4q19 2XL
4qhp 32Q/32R
4rfd 3O5
4urm XAM
4wmc NXL
4x7l 3Z4
4y8d 49J
4yqh 4F7
4zhm 10-mer
4zyy 3YC
5abg V0N
5cxa 55L
5ece 5N2
5fxs OZN
5i9z 627
5iha 6BE
5j87 N42
5k5n 6QH
5kq5 STU
5ld8 6U5
5ni5 8YB
5o45 15-mer
5oci 9R8
5q15 9MP
5upe 8HY
5w7u GY8
5xvg 8FX
6b2q CJJ
6bxy EEV
6chl EXJ
6d56 FVM
6e4t HTV
6esn BWE
6ety BXK
6gxe FFH
6i5i H3E
6ocu M5V
6ooz A6Y
1iwq 19-mer
1zgb A1E
2qu5 276
3dbu D8W
3hiw C2X
3ovz O96
4avt GHE
4fab FLU
4i5m R78
5ea5 TM3
5q0n 9L4
6a3n 9Q9
6evr BZW
6kqi 9GF
6pl2 OOM
1dva 19-mer
1gni OLA
1jtq LY3
1wxz FRL
2jbo P4O
2jbp P4O
3ant S82
3jwr IBM
3l9n L9N
3oxz 0LI
3r2y P4O
3v8w 0G2
3vbd 0FZ
4exg 916
4um9 13-mer
5aa8 5P8
5jfu 6KQ
6nvg XL8
6qg4 J0E
6s89 L0Q
6s8a L0N
1siv PSI
2q70 DC8
3fmz 2T1
3ifl 7-mer
3k39 BCZ
3lil EEA
3wd9 QPC
4edz 0O5
4hzz G39
4mf0 29Z
4qlu 38X
4wxi 3VM
5q1c 9NA
6do1 8-mer
6fiv 3TL
1acj THA
1lhf DI4
2pj0 922
2rkg AB1
2yfx VGH
3hub 469
3kqe LGM
3oe6 ITD
3s2a 2NQ
3tu7 0BM
4elh 53I/53J
4his 3MI
4kzc 1UK
4loy 6XS
5cf6 50O
5n6s 8P5
5tv3 7L3
5two 7MV
6b59 CQS
6n4t KD7
1dbk ANO
1erb ETR
1fzj 8-mer
1ghy 121
1l6m DBH
1ody LP1
1p4r 354
1pq6 965
1qj7 GR1
1rhr CNE
1rt1 MKC
1stc STU
1uk0 FRM
1xud PB4
1ype UIP
1zxc IH6
2a5u QYT
2b52 D42
2cf8 ESH
2e9u A25
2hiw 7MP
2iog IOG
2pvj P44
2qk5 CS5
2ql5 5-mer
2qp8 SC7
2qzl IXS
2rcw AAI
2vvu H22
2wpa 889
3at4 CCK
3caj EZL
3ccc 7AC
3f15 HS1
3ion 8H1
3ith EDM
3jzs 12-mer
3kr8 XAV
3l58 CS5
3l8v L8V
3l9h EMQ
3lox MCX
3lxs 4MC
3nal DBK
3nx7 NHK
3qai XNN
3skg PB8
3tyv HI3
3vw7 VPX
4bid IE8
4d0x 953
4e90 7RG
4eg5 0OU
4eqc XR1
4frk DWD
4hai I23
4hgl 0YO
4i1c 1BE
4i9i 1DY
4jq8 KJ8
4nwm 2P5
4oq3 2V8
4p10 2B8
4pms 31X
4poj 2VP
4r74 F6P
4rwl 3ZC
4ryg 3ZJ
4u44 3D9
4wf2 BTX
4wht 12-mer
4why 12-mer
4wke 3PU
4wnp 3RJ
4xy2 490
4zxx 4T0
4zyi 4TH
5a6b OAN
5ar8 XYW
5ax9 4KT
5ei8 5OE
5enk 5QV
5i3x 68J
5jyy 6PY
5lck 6TT
5m7u XHA
5ml8 V98
5mqv D5Q
5q0m 9L1
5t2g 74K
5tzc 7OJ
5ug9 8AM
5w4w 9WG
5w5o 9XA
5wg3 AFM
5xyz GYL
6e0q HKD
6e6j HWV
6eyz C5W
6ffi D8B
6ftf 7CI
6g9m ESW
6gjb F0H
6gwr FEW
6hub GQK
6m87 2M9
6ma1 JA4
6ma5 J9V
6mu1 JYP
6nsq KZP
6ode M9G
6pm9 OQ1
1err RAL
1ndz FR5
1nvr STU
2jko BIJ
2jkq VG8
2pq9 GG9
2znu NDZ
3fv2 NDZ
3vry B43
3vye VYE
4aze 3RA
4cp7 9MW
4ge4 0KE
4p6g 2FZ
4puz CG9
4v01 0LI
4v04 0LI
4z1j 4KC
4z7i 10-mer
5ea4 5NM
5lhi 6X5
5wad QQZ
5zml 16-mer
6cjp F5S
6cnj NCT
6h38 FKK
6q9h HRH
1o5r FR9
2k2g DSV
2yi0 YI0
3hiv TXN
3rwc 9-mer
3upx B6A
4li8 1XQ
4ngs J34
6b33 CF7
6d1l FQV
6dil TPV
6dj2 AB1
2yk1 NCT
3dng AXA
3oev 3OE
3q3k D90
4pop 2VY
4qfr 32J
4ud7 16-mer
5alc TIQ
5kww 6YA
1g35 AHF
1yqj 6NP
3b4f TUO
3ljz LA3
3lxg Z73
3odu ITD
3oe8 ITD
3ryx RYX
4buq KGM
4isi 1GG
4jt9 1NS
4q07 V14
4rlp 72B
4zy1 4U5
5jk3 6L4
5kup 6XL
5xms 8B3
